week_end,Group,Sub-Group,product_id,sales_units,forecast_units
2023-08-02,P,POV,POV001L24P,16646.999999999996,9690.625
2023-08-09,P,POV,POV001L24P,6234.000000000001,9690.625
2023-07-19,P,POV,POV002L09P,2664.0,3402.625
2023-07-26,P,POV,POV002L09P,5307.0,3402.625
2023-08-02,P,POV,POV002L09P,5040.000000000001,3402.625
2023-08-09,P,POV,POV002L09P,2135.0,3402.625
2023-07-19,P,POV,POV005L04P,1326.0,1584.625
2023-07-26,P,POV,POV005L04P,1798.0,1584.625
2023-08-02,P,POV,POV005L04P,2060.0,1584.625
2023-08-09,P,POV,POV005L04P,1496.0,1584.625
2023-07-19,P,POV,POV500M24P,5040.0,6209.5
2023-07-26,P,POV,POV500M24P,7188.0,6209.5
2023-08-02,P,POV,POV500M24P,8777.0,6209.5
2023-08-09,P,POV,POV500M24P,3544.000000000001,6209.5
2023-07-19,S,SE,SE200G24P,297.1670833333334,271.3644791666667
2023-07-26,S,SE,SE200G24P,268.0,271.3644791666667
2023-08-02,S,SE,SE200G24P,184.29208333333335,271.3644791666667
2023-08-09,S,SE,SE200G24P,245.0,271.3644791666667
2023-07-19,S,SE,SE500G24P,5330.253000000001,3873.5666250000004
2023-07-26,S,SE,SE500G24P,3821.0,3873.5666250000004
2023-08-02,S,SE,SE500G24P,2772.834,3873.5666250000004
2023-08-09,S,SE,SE500G24P,3377.083,3873.5666250000004
2023-07-19,S,SO,SO0001L12P,0.0,0.0
2023-07-26,S,SO,SO0001L12P,0.0,0.0
2023-08-02,S,SO,SO0001L12P,0.0,0.0
2023-08-09,S,SO,SO0001L12P,0.0,0.0
2023-07-19,S,SO,SO0002L09P,0.0,0.0
2023-07-26,S,SO,SO0002L09P,0.0,0.0
2023-08-02,S,SO,SO0002L09P,0.0,0.0
2023-08-09,S,SO,SO0002L09P,0.0,0.0
2023-07-19,S,SO,SO0005L04P,0.0,0.0
2023-07-26,S,SO,SO0005L04P,0.0,0.0
2023-08-02,S,SO,SO0005L04P,0.0,0.0
2023-08-09,S,SO,SO0005L04P,0.0,0.0
2023-07-19,S,SO,SO0500M24P,0.0,0.0
2023-07-26,S,SO,SO0500M24P,0.0,0.0
2023-08-02,S,SO,SO0500M24P,0.0,0.0
2023-08-09,S,SO,SO0500M24P,0.0,0.0
2023-07-19,S,SOP,SOP001L12P,410.670018115942,601.7608808876811
2023-07-26,S,SOP,SOP001L12P,436.0,601.7608808876811
2023-08-02,S,SOP,SOP001L12P,228.9129528985507,601.7608808876811
2023-08-09,S,SOP,SOP001L12P,543.9999999999999,601.7608808876811
2023-07-19,S,SOS,SOS001L12P,32371.000000000007,36150.540624999994
2023-07-26,S,SOS,SOS001L12P,36048.82998188405,36150.540624999994
2023-08-02,S,SOS,SOS001L12P,43143.33297101448,36150.540624999994
2023-08-09,S,SOS,SOS001L12P,31264.330072463774,36150.540624999994
2023-07-19,S,SOS,SOS002L09P,23780.44402173913,24297.781114130434
2023-07-26,S,SOS,SOS002L09P,26567.000000000004,24297.781114130434
2023-08-02,S,SOS,SOS002L09P,27483.55398550725,24297.781114130434
2023-08-09,S,SOS,SOS002L09P,14867.0,24297.781114130434
2023-07-19,S,SOS,SOS003L04P,6066.999999999998,5345.79375
2023-07-26,S,SOS,SOS003L04P,4990.0,5345.79375
2023-08-02,S,SOS,SOS003L04P,5049.749999999999,5345.79375
2023-08-09,S,SOS,SOS003L04P,3078.9999999999995,5345.79375
2023-07-19,S,SOS,SOS005L04P,36294.0,35112.40625
2023-07-26,S,SOS,SOS005L04P,29034.999999999996,35112.40625
2023-08-02,S,SOS,SOS005L04P,32906.5,35112.40625
2023-08-09,S,SOS,SOS005L04P,23049.25,35112.40625
2023-07-19,S,SOS,SOS008L02P,2098.0,2116.75
2023-07-26,S,SOS,SOS008L02P,1736.9999999999998,2116.75
2023-08-02,S,SOS,SOS008L02P,2659.0,2116.75
2023-08-09,S,SOS,SOS008L02P,2120.0,2116.75
2023-07-19,S,SOS,SOS250M48P,1337.9999999999995,1055.2499999999998
2023-07-26,S,SOS,SOS250M48P,1403.9999999999998,1055.2499999999998
2023-08-02,S,SOS,SOS250M48P,1707.9999999999995,1055.2499999999998
2023-08-09,S,SOS,SOS250M48P,1245.9999999999995,1055.2499999999998
2023-07-19,S,SOS,SOS500M24P,13807.000000000004,14987.536367753628
2023-07-26,S,SOS,SOS500M24P,12951.000000000004,14987.536367753628
2023-08-02,S,SOS,SOS500M24P,16303.000000000005,14987.536367753628
2023-08-09,S,SOS,SOS500M24P,9060.000000000007,14987.536367753628
